City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,presidente medici,-11.1753,-61.9014,20.83,93,93,1.12,BR,1684222963
167,aklavik,68.2191,-135.0107,3.46,87,76,6.81,CA,1684222964
168,khani,41.9563,42.9566,13.76,48,1,2.24,GE,1684222964
169,georgetown,5.4112,100.3354,33.97,66,20,3.6,MY,1684222964
170,itanhandu,-22.2958,-44.9347,9.02,79,68,0.73,BR,1684222964
171,hasaki,35.7333,140.8333,22.22,70,82,3.25,JP,1684222965
172,gwembe,-16.4975,27.6069,23.99,39,14,3.44,ZM,1684222965
173,guozhen,34.3659,107.359,33.11,27,32,2.98,CN,1684222965
174,katsuura,35.1333,140.3,19.05,72,97,2.94,JP,1684222966
175,andapa,-14.65,49.65,28.74,53,5,1.62,MG,1684222966
176,rio gallegos,-51.6226,-69.2181,5.03,93,75,6.17,AR,1684222897
177,comodoro rivadavia,-45.8667,-67.5,14.92,44,0,10.29,AR,1684222967
178,hermanus,-34.4187,19.2345,14.74,71,50,1.13,ZA,1684222967
179,saint-philippe,-21.3585,55.7679,27.77,72,27,3.86,RE,1684222967
180,sao joao dos patos,-6.495,-43.7022,22.61,95,100,0.29,BR,1684222967
181,paamiut,61.994,-49.6678,1.34,98,100,1.67,GL,1684222968
182,saint george,37.1041,-113.5841,26.33,34,0,2.24,US,1684222805
183,zwettl,48.6,15.1667,15.18,70,100,2.41,AT,1684222968
184,inirida,3.8653,-67.9239,23.24,99,100,0.98,CO,1684222969
185,khandbari,27.3747,87.2039,28.18,35,84,0.99,NP,1684222969
186,kroonstad,-27.6504,27.2349,15.31,57,12,3.45,ZA,1684222969
187,mutum,-19.8,-41.4383,19.34,89,91,0.43,BR,1684222970
188,gwadar,25.1216,62.3254,31.57,68,0,5.69,PK,1684222970
189,atar,20.5169,-13.0499,32.01,15,81,2.45,MR,1684222970
190,lata,40.1629,-8.3327,16.71,48,100,2.12,PT,1684222970
191,rupnagar,30.9664,76.5331,40.85,8,100,3.32,IN,1684222971
192,kahului,20.8947,-156.47,23.01,80,40,4.63,US,1684222914
193,rivera,-30.9053,-55.5508,13.31,87,0,1.28,UY,1684222922
194,fort smith,35.3859,-94.3986,22.02,94,100,4.63,US,1684222750
195,codrington,-38.2667,141.9667,12.04,47,100,4.7,AU,1684222972
196,chapais,49.7834,-74.8492,0.88,66,82,3.2,CA,1684222972
197,melfi,40.9965,15.6514,14.31,81,90,3.56,IT,1684222972
198,seoul,37.5683,126.9778,32.66,34,0,5.66,KR,1684222973
199,hobyo,5.3505,48.5268,31.82,56,52,8.35,SO,1684222973
200,san patricio,28.017,-97.5169,25.47,89,100,2.36,US,1684222973
201,cayenne,4.9333,-52.3333,24.02,100,75,0.51,GF,1684222974
202,havre-saint-pierre,50.2334,-63.5986,6.0,81,100,2.57,CA,1684222974
203,imeni babushkina,59.7573,43.1285,20.71,34,100,1.84,RU,1684222974
204,henties bay,-22.116,14.2845,16.44,76,57,2.36,NA,1684222975
205,tuatapere,-46.1333,167.6833,11.26,84,99,3.84,NZ,1684222975
206,celestun,20.8667,-90.4,24.13,83,4,2.95,MX,1684222975
207,newton,42.337,-71.2092,16.57,46,0,3.09,US,1684222750
208,ribeira grande,38.5167,-28.7,18.22,94,75,4.12,PT,1684222976
209,lamar,33.6668,-95.5836,20.95,100,0,2.06,US,1684222976
210,zyryanka,65.75,150.85,9.21,52,12,9.07,RU,1684222976
211,terney,45.0503,136.6092,11.95,87,98,3.3,RU,1684222977
212,ostersund,63.1792,14.6357,14.23,36,0,2.24,SE,1684222977
213,resistencia,-27.4606,-58.9839,15.05,93,0,2.06,AR,1684222691
214,balfour,-26.6633,28.5902,14.38,62,26,3.97,ZA,1684222977
215,wangou,42.0623,126.9127,26.23,35,12,7.66,CN,1684222978
216,axim,4.8699,-2.2405,26.71,83,100,0.56,GH,1684222978
217,oktyabrskoye,43.0645,44.7417,18.08,39,20,3.0,RU,1684222978
218,faya,18.3851,42.4509,27.06,30,8,3.78,SA,1684222978
219,beaverlodge,55.2166,-119.4361,16.64,57,40,2.42,CA,1684222979
220,saldanha,-33.0117,17.9442,12.03,74,55,3.62,ZA,1684222979
221,villacarrillo,38.1156,-3.0848,13.84,36,7,3.76,ES,1684222979
222,huarmey,-10.0681,-78.1522,21.8,82,69,3.5,PE,1684222979
223,barabai,-2.5833,115.3833,30.51,60,100,1.31,ID,1684222980
224,alta floresta,-9.8756,-56.0861,20.15,85,100,1.69,BR,1684222980
225,aconibe,1.2968,10.9369,24.68,86,87,0.58,GQ,1684222980
226,port elizabeth,-33.918,25.5701,17.95,76,0,2.06,ZA,1684222981
227,katangli,51.7102,143.2326,7.11,82,53,5.72,RU,1684222981
228,sabha,27.0377,14.4283,20.96,30,0,4.1,LY,1684222981
229,qinhuangdao,39.9317,119.5883,24.58,48,92,6.06,CN,1684222982
230,darhan,49.4867,105.9228,13.61,24,9,2.22,MN,1684222982
231,ndola,-12.9587,28.6366,21.42,61,20,7.15,ZM,1684222982
232,bay roberts,47.5999,-53.2648,7.86,86,100,4.47,CA,1684222983
233,vao,-22.6667,167.4833,23.43,60,46,7.22,NC,1684222983
234,gizo,-8.103,156.8419,28.87,73,54,2.28,SB,1684222984
235,ostrovnoy,68.0531,39.5131,6.92,97,99,6.26,RU,1684222984
236,rayong,12.8333,101.4333,35.9,64,0,4.53,TH,1684222984
237,mahibadhoo,3.7833,72.9667,28.77,78,91,8.28,MV,1684222985
238,puerto carreno,6.189,-67.4859,24.67,91,100,2.15,CO,1684222985
239,carnarvon,-24.8667,113.6333,23.86,41,4,5.96,AU,1684222985
240,muros,42.7762,-9.0603,14.49,63,100,7.29,ES,1684222986
241,san cristobal,7.7669,-72.225,20.51,81,100,1.12,VE,1684222932
242,mandera,3.9366,41.867,32.11,46,26,8.05,KE,1684222986
243,suoyarvi,62.0833,32.35,19.47,37,95,4.2,RU,1684222987
244,komsomolskiy,40.4272,71.7189,31.4,20,100,3.09,UZ,1684222988
245,tomatlan,19.9333,-105.25,21.25,79,30,0.95,MX,1684222988
246,belokurikha,51.9959,84.9896,16.51,47,99,5.8,RU,1684222989
247,laguna,38.421,-121.4238,20.22,77,0,2.06,US,1684222989
248,karratha,-20.7377,116.8463,26.72,24,2,4.56,AU,1684222989
249,vestmannaeyjar,63.4427,-20.2734,4.12,59,100,1.58,IS,1684222990
